anno,dt_ince,comune,sup_tot_ha,geom
2017,2017-06-03,2017/CA/3846,1.4317,POINT(8.930553506950911 39.552738435263215)
2017,2017-06-03,2017/CA/3847,0.5443,POINT(8.82921931003251 39.60694450944459)
2017,2017-06-04,2017/CA/3850,0.2095,POINT(9.123670149449072 39.53374019326048)
2017,2017-07-12,2017/CA/4568,0.1909,POINT(8.89402379139137 39.48470239084652)
2017,2017-06-04,2017/CA/3853,0.7546,POINT(9.13726283698906 39.26874566257876)
2017,2017-06-04,2017/CA/3858,0.6468,POINT(8.921808526943353 39.28409010626688)
2017,2017-06-04,2017/CA/3859,6.2142,POINT(8.892082746375658 39.53226489467484)
2017,2017-06-04,2017/CA/3862,15.3114,POINT(8.967775387283607 39.33096771156993)
2017,2017-06-04,2017/CA/3863,1.9041,POINT(8.999241026435937 39.07534476146568)
2017,2017-06-04,2017/CA/3865,11.5641,POINT(9.07091785733191 39.67799349839917)
2017,2017-06-04,2017/CA/3868,4.4696,POINT(8.96424127902984 39.26042121167884)
2017,2017-06-04,2017/CA/3869,0.3154,POINT(8.951547127117355 39.33807197507613)
2017,2017-06-07,2017/CA/3880,2.5096,POINT(9.03314933840104 39.6484863700971)
2017,2017-06-06,2017/CA/3872,1.4865,POINT(9.136403843944931 39.514206272957054)
2017,2017-06-06,2017/CA/3874,7.9456,POINT(9.200474332500821 39.26566180164614)
2017,2017-06-06,2017/CA/3875,1.1491,POINT(9.276819810605732 39.24495949810003)
2017,2017-06-07,2017/CA/3884,3.1483,POINT(9.072393460716382 39.6899123449285)
2017,2017-06-07,2017/CA/3886,11.9401,POINT(9.079471148943036 39.34298417292992)
2017,2017-06-07,2017/CA/3888,16.2993,POINT(9.203478236251295 39.261178824991475)
2017,2017-06-07,2017/CA/3889,6.5955,POINT(9.109403540219468 39.691075173936014)
2017,2017-06-07,2017/CA/3891,4.0079,POINT(9.197954383187232 39.24700935887728)
2017,2017-06-08,2017/CA/3905,1.0204,POINT(9.038000485820739 39.26914352206608)
2017,2017-06-08,2017/CA/3906,5.8233,POINT(9.012310910542087 39.45644908563511)
2017,2017-06-07,2017/CA/3892,1.0729,POINT(9.341865486276031 39.472240438764985)
2017,2017-06-08,2017/CA/3907,0.2184,POINT(9.088436318136317 39.69219878498945)
2017,2017-06-08,2017/CA/3908,0.7017,POINT(9.084181191049037 39.56544294868508)
2017,2017-06-08,2017/CA/3899,6.6731,POINT(9.139548661576514 39.539246450176485)
2017,2017-06-08,2017/CA/3901,0.4707,POINT(8.911434410028416 39.602527299529896)
2017,2017-06-10,2017/CA/3950,0.6331,POINT(8.748919889473925 39.46199464360377)
2017,2017-06-08,2017/CA/3902,2.4226,POINT(9.021538705081188 39.4574301057609)
2017,2017-06-08,2017/CA/3903,3.8385,POINT(8.913063461389301 39.605323320938886)
2017,2017-06-10,2017/CA/3954,1.6044,POINT(8.966442371272347 39.26173451396356)
2017,2017-09-20,2017/CA/5424,0.2744,POINT(8.965811532246802 39.37366152209133)
2017,2017-06-08,2017/CA/3909,0.9799,POINT(8.963359562653407 39.6348966990556)
2017,2017-06-08,2017/CA/3917,0.1829,POINT(9.146306274769064 39.4043561501345)
2017,2017-06-09,2017/CA/3926,0.3766,POINT(9.126910547823156 39.429614603895224)
2017,2017-06-09,2017/CA/3930,3.8834,POINT(9.026123387619085 39.30754212622113)
2017,2017-06-09,2017/CA/3933,0.4818,POINT(8.788529419992393 39.53480971964449)
2017,2017-09-24,2017/CA/5463,0.5827,POINT(9.021122337594017 39.286635732843614)
2017,2017-06-09,2017/CA/3934,0.7516,POINT(9.13414508303823 39.51870084438758)
2017,2017-06-10,2017/CA/3939,0.3559,POINT(9.042242513409613 39.39867668104918)
2017,2017-06-10,2017/CA/3945,6.0123,POINT(8.698058210526778 39.63085512594132)
2017,2017-06-10,2017/CA/3946,3.9638,POINT(8.965378364417633 39.26333184968605)
2017,2017-06-11,2017/CA/3976,2.4689,POINT(8.961023304177685 39.46620996422413)
2017,2017-06-10,2017/CA/3955,1.4723,POINT(9.142820545198747 39.49143976858407)
2017,2017-06-10,2017/CA/3956,0.8879,POINT(8.950507171594268 39.630677237635474)
2017,2017-06-11,2017/CA/3958,0.5983,POINT(9.094540301207319 39.701633375307054)
2017,2017-06-11,2017/CA/3960,2.1495,POINT(9.15724337909896 39.552086080798716)
2017,2017-06-18,2017/CA/4119,0.4563,POINT(8.939475788058356 39.692545043630794)
2017,2017-09-24,2017/CA/5464,2.1215,POINT(8.914556072756163 39.46371266781995)
2017,2017-06-11,2017/CA/3961,1.5687,POINT(9.310755112476116 39.27619886305093)
2017,2017-06-11,2017/CA/3962,0.2063,POINT(9.09875275711361 39.690076235303806)
2017,2017-06-11,2017/CA/3963,0.1629,POINT(8.983163774980094 39.17388314965361)
2017,2017-06-11,2017/CA/3968,0.5640,POINT(9.073280149893161 39.687749455844425)
2017,2017-06-11,2017/CA/3971,4.5905,POINT(8.893678892406058 39.29171539949193)
2017,2017-06-12,2017/CA/3992,1.7903,POINT(8.610853895229338 39.55906919960015)
2017,2017-07-12,2017/CA/4569,0.4019,POINT(9.057257026774773 39.28195463707083)
2017,2017-06-11,2017/CA/3973,4.8211,POINT(9.028184252515878 39.64673096216655)
2017,2017-06-12,2017/CA/3977,1.1591,POINT(9.235822479118792 39.28926797829283)
2017,2017-06-12,2017/CA/3978,3.0588,POINT(8.582813931997542 39.679777894892496)
2017,2017-06-13,2017/CA/4006,0.3265,POINT(9.114515124700613 39.25209014448612)
2017,2017-06-12,2017/CA/3980,3.6295,POINT(9.140608201144298 39.53599895313771)
2017,2017-06-13,2017/CA/4008,0.8179,POINT(9.161641260165474 39.31103517135643)
2017,2017-06-18,2017/CA/4123,0.3371,POINT(9.113779132985163 39.706694595690195)
2017,2017-06-12,2017/CA/3981,8.5569,POINT(9.146829278974783 39.525444120827956)
2017,2017-06-14,2017/CA/4016,0.5534,POINT(8.780980809480791 39.638919028238035)
2017,2017-07-13,2017/CA/4589,2.8526,POINT(8.890762653888594 39.325775058525146)
2017,2017-06-12,2017/CA/3982,1.7778,POINT(9.11696577218166 39.60501435301051)
2017,2017-06-12,2017/CA/3983,0.4485,POINT(9.085762347780546 39.673224251719894)
2017,2017-06-12,2017/CA/3984,17.1817,POINT(8.824035997843858 39.56865547507703)
2017,2017-06-14,2017/CA/4017,21.3027,POINT(8.951477327139047 39.48508673290671)
2017,2017-06-12,2017/CA/3985,8.6739,POINT(9.100623005461813 39.523448422031755)
2017,2017-06-12,2017/CA/3987,3.5188,POINT(8.907173155057261 39.32380766633246)
2017,2017-06-12,2017/CA/3989,1.1926,POINT(8.991411623080078 39.57179189194407)
2017,2017-06-12,2017/CA/3990,2.9034,POINT(8.991528559940143 39.382019402849444)
2017,2017-06-12,2017/CA/3991,0.8016,POINT(8.937179211780272 39.39057239354639)
2017,2017-06-12,2017/CA/3998,1.1374,POINT(9.160536421652276 39.50766135862137)
2017,2017-06-13,2017/CA/4000,3.6267,POINT(8.892371369166378 39.41255263017187)
2017,2017-06-13,2017/CA/4001,1.5345,POINT(9.046994741338013 39.288683787208186)
2017,2017-06-14,2017/CA/4018,0.4157,POINT(8.980608035332793 39.6863211099005)
2017,2017-09-02,2017/CA/5267,0.6281,POINT(8.974585747139253 39.38355143160611)
2017,2017-06-13,2017/CA/4003,8.5779,POINT(8.983467832982473 39.6056651035292)
2017,2017-06-13,2017/CA/4005,10.7235,POINT(8.970678006589372 39.60266384546462)
2017,2017-06-15,2017/CA/4052,23.6559,POINT(9.005617531402551 39.381127433958135)
2017,2017-06-13,2017/CA/4010,2.2056,POINT(9.101063608887651 39.68825373986481)
2017,2017-06-21,2017/CA/4161,3.1099,POINT(9.008056783645928 39.12711732302185)
2017,2017-06-13,2017/CA/4011,2.2050,POINT(9.12459009959302 39.56570646420188)
2017,2017-06-13,2017/CA/4012,13.6185,POINT(9.032591869832023 39.6362599291122)
2017,2017-06-13,2017/CA/4013,0.5462,POINT(8.984116278554895 39.56945945669008)
2017,2017-06-14,2017/CA/4019,2.1003,POINT(9.096604815048423 39.2760069836952)
2017,2017-06-14,2017/CA/4020,1.5304,POINT(8.979063872673082 39.31742409040052)
2017,2017-06-14,2017/CA/4022,0.2618,POINT(9.24701453476671 39.68954078072651)
2017,2017-06-15,2017/CA/4059,1.4198,POINT(9.06029349824053 39.49721752204729)
2017,2017-06-15,2017/CA/4066,3.8572,POINT(9.052121663582719 39.65376260502659)
2017,2017-06-14,2017/CA/4023,2.7922,POINT(9.088523399003076 39.53273356004154)
2017,2017-06-14,2017/CA/4024,3.4869,POINT(8.952448706553866 39.360946882972)
2017,2017-06-14,2017/CA/4026,30.6402,POINT(8.77267126574017 39.545618806070806)
2017,2017-06-15,2017/CA/4068,0.2172,POINT(8.972793294761107 39.648538289132325)
2017,2017-06-24,2017/CA/4220,5.5567,POINT(8.938392509333507 39.37652177458304)
2017,2017-06-15,2017/CA/4041,9.1287,POINT(9.213560479594046 39.30771979550066)
2017,2017-06-15,2017/CA/4043,7.9037,POINT(9.007791342278736 39.332998625970035)
2017,2017-06-15,2017/CA/4047,4.3437,POINT(8.939012141225575 39.56412976424235)
2017,2017-06-15,2017/CA/4048,0.9955,POINT(8.932367563624654 39.56287511222884)
2017,2017-06-15,2017/CA/4051,0.1059,POINT(8.95030783639366 39.37558953595442)
2017,2017-06-01,2017/IG/0334,0.3958,POINT(8.73188685897103 39.15236128317459)
2017,2017-06-15,2017/CA/4054,2.8056,POINT(9.078052317912396 39.61649053612428)
2017,2017-06-15,2017/CA/4069,0.6176,POINT(8.895654556250335 39.66687351956388)
2017,2017-06-16,2017/CA/4071,1.1971,POINT(8.92204155922992 39.32546560129664)
2017,2017-06-15,2017/CA/4058,61.5830,POINT(8.752810720177218 39.534202916051015)
2017,2017-06-17,2017/CA/4089,1.6470,POINT(9.304720832598344 39.26542589305279)
2017,2017-06-16,2017/CA/4073,10.9612,POINT(8.95082080122295 39.42066290375377)
2017,2017-06-16,2017/CA/4077,27.4508,POINT(8.945488980250877 39.658150826760746)
2017,2017-06-16,2017/CA/4079,0.4287,POINT(8.959993537413881 39.489369774528456)
2017,2017-06-16,2017/CA/4081,15.1629,POINT(9.082429075438858 39.55688153300671)
2017,2017-06-16,2017/CA/4083,1.6752,POINT(8.998501553776112 39.695539949018496)
2017,2017-06-16,2017/CA/4085,1.5970,POINT(8.96938371934361 39.37260324186889)
2017,2017-06-17,2017/CA/4096,6.0730,POINT(8.810459387529045 39.57795109963245)
2017,2017-06-17,2017/CA/4092,0.2318,POINT(9.268113351746754 39.25621067568492)
2017,2017-06-17,2017/CA/4093,2.2954,POINT(9.116034802487118 39.57976420062241)
2017,2017-06-17,2017/CA/4094,0.3539,POINT(9.0169726888874 39.03348228868552)
2017,2017-06-17,2017/CA/4095,0.5703,POINT(8.93080588922227 39.313228955499866)
2017,2017-06-17,2017/CA/4099,0.4668,POINT(9.06713224011474 39.31176787534543)
