Municipality,Fire_Frequency,Total_Burned_Area_HA,Avg_Area_Per_Fire,Primary_Land_Type,Risk_Level,Forecast_Notes
GIADA DE MURU,1,1.68,1.68,16809.3,LOW,High seasonal risk in Summer.
CAMPU SAITTA,1,2.67,2.67,26688.1,LOW,High seasonal risk in Summer.
PERDA LADA,1,4.23,4.23,0,LOW,High seasonal risk in Summer.
PERDA SPERRADA,1,6.81,6.81,68069.2,LOW,High seasonal risk in Summer.
RIU SARRICIOLLU,1,8.19,8.19,81931.2,LOW,High seasonal risk in Summer.
CANAIOBA,1,0.48,0.48,4755.8,LOW,High seasonal risk in Summer.
S'ACQUA BIANCA,1,2.09,2.09,20928.2,LOW,High seasonal risk in Summer.
CANA,1,0.96,0.96,9630.58,LOW,High seasonal risk in Summer.
TRIOI,1,1.46,1.46,14623.8,LOW,High seasonal risk in Summer.
RIU S'ISPADULA,1,1.43,1.43,14296.3,LOW,High seasonal risk in Summer.
TIRIEDU,1,1.13,1.13,0,LOW,High seasonal risk in Summer.
ENA TRASINO,1,131.23,131.23,525792,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
TALERI,1,8.59,8.59,85942.39438639,LOW,High seasonal risk in Summer.
FUNT.NA CANNAS,1,157.98,157.98,524164,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
FUNTNA SUEI,1,0.10,0.10,1014.1811791,LOW,High seasonal risk in Summer.
CUILI ARGIOLA RAMINI,1,83.37,83.37,0,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
N.GHE SONNU,1,2.76,2.76,246,LOW,High seasonal risk in Summer.
R. ACCORO,1,0.80,0.80,8049.59355022,LOW,High seasonal risk in Summer.
S. MARIA DELLE GRAZIE,1,2.60,2.60,13630,LOW,High seasonal risk in Summer.
N.GHE IANA,1,20.14,20.14,201364.18573027,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
PAULI BECCIA,1,0.78,0.78,7797.77354781,LOW,High seasonal risk in Summer.
N.GHE SIAU MANNU,1,20.87,20.87,0,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
PALA CONI,1,0.55,0.55,5548,LOW,High seasonal risk in Summer.
OLIVETO BUSACHI,1,2.51,2.51,25069,LOW,High seasonal risk in Summer.
SERRA E FIGU,1,0.44,0.44,4446,LOW,High seasonal risk in Summer.
N.GHE MURA PROCHILIS,1,7.45,7.45,0,LOW,High seasonal risk in Summer.
N. 86,1,1.26,1.26,12593,LOW,High seasonal risk in Summer.
PARRADEI,1,5.27,5.27,52741,LOW,High seasonal risk in Summer.
PAULI SCAVONAI,1,5.99,5.99,59870,LOW,High seasonal risk in Summer.
BIA ZEDDIANI,1,16.96,16.96,169626,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
GRUXI MANNA,1,0.25,0.25,2545.47149032,LOW,High seasonal risk in Summer.
IS PISCINALIS,1,6.94,6.94,69364.1100713,LOW,High seasonal risk in Summer.
PROCILIS,1,2.05,2.05,20513.90233826,LOW,High seasonal risk in Summer.
SORG.TE ALVAGHES,1,8.13,8.13,11860,LOW,High seasonal risk in Summer.
FUNT.NA 'E PADRU,1,1.08,1.08,5365.8887637,LOW,High seasonal risk in Summer.
C. ORTU,1,19.63,19.63,59946.75952392,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
S.S. DEL TIRSO E MANDROLIS,1,2.25,2.25,22516.03585754,LOW,High seasonal risk in Summer.
FUNT.NA PORCHEDDOSA,1,6.18,6.18,0,LOW,High seasonal risk in Summer.
PAULI RIU PORCHEDDU,1,1.23,1.23,12285.75733027,LOW,High seasonal risk in Summer.
POD.E N. 34,1,0.38,0.38,3769.60159295,LOW,High seasonal risk in Summer.
FUNT.NA MURTILO,1,0.77,0.77,0,LOW,High seasonal risk in Summer.
