Municipality,Fire_Frequency,Total_Burned_Area_HA,Avg_Area_Per_Fire,Primary_Land_Type,Risk_Level,Forecast_Notes
BAUNEI,2,2.83,1.42,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
GAVOI,2,5.67,2.84,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
MEANA SARDO,2,0.95,0.48,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
ARITZO,2,0.27,0.14,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
BELVI',2,25.97,12.98,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk. Propensity for large-scale events detected.
AUSTIS,2,17.65,8.83,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
ULA' TIRSO,2,0.56,0.28,ALTRO,LOW,High seasonal risk in Summer.
ONANI',2,1.50,0.75,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
FORDONGIANUS,2,0.54,0.27,PASCOLO,LOW,High seasonal risk in Summer.
ALBAGIARA,2,3.96,1.98,ALTRO,LOW,High seasonal risk in Summer.
ARDAULI,2,0.55,0.28,PASCOLO,LOW,High seasonal risk in Summer.
COSSOINE,2,20.17,10.09,ALTRO,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
PUTIFIGARI,2,64.02,32.01,"BOSCO, PASCOLO",MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
OSSI,2,9.97,4.99,ALTRO,LOW,High seasonal risk in Summer.
LUOGOSANTO,2,4.60,2.30,"BOSCO, ALTRO",LOW,High seasonal risk in Summer.
GOLFO ARANCI,2,0.55,0.28,ALTRO,LOW,High seasonal risk in Summer.
BORTIGIADAS,2,0.40,0.20,ALTRO,LOW,High seasonal risk in Summer.
MASAINAS,2,1.10,0.55,ALTRO,LOW,High seasonal risk in Summer.
URZULEI,2,2.04,1.02,PASCOLO,LOW,High seasonal risk in Summer.
GONNOSTRAMATZA,2,3.08,1.54,PASCOLO,LOW,High seasonal risk in Summer.
MODOLO,2,2.37,1.19,"BOSCO, ALTRO",LOW,High seasonal risk in Summer.
TADASUNI,2,1.53,0.77,"PASCOLO, ALTRO",LOW,High seasonal risk in Summer.
ARDARA,2,0.66,0.33,ALTRO,LOW,High seasonal risk in Summer.
SA RUINA,2,2.20,1.10,10252.9,LOW,High seasonal risk in Summer.
F.TA DI UTA,2,1.73,0.86,12179.6,LOW,High seasonal risk in Summer.
RIU SA RUTTA,2,0.50,0.25,0,LOW,High seasonal risk in Summer.
SA GIARRA,2,6.61,3.30,62852.1,LOW,High seasonal risk in Summer.
S.S. 196,2,83.53,41.77,10800.6,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
PERDALBA,2,2.35,1.17,9977.44,LOW,High seasonal risk in Summer.
BIA MONASTIR,2,0.72,0.36,3405.89,LOW,High seasonal risk in Summer.
SANTA MARIA,2,1.31,0.65,4880.09,LOW,High seasonal risk in Summer.
PUZZU LOIA,2,1.74,0.87,10431,LOW,High seasonal risk in Summer.
MENDULEDDAS,2,3.92,1.96,2025.11,LOW,High seasonal risk in Summer.
CRABIOLI E STORI,2,2.97,1.48,16760.4,LOW,High seasonal risk in Summer.
SU PRANU,2,2.12,1.06,5455.38,LOW,High seasonal risk in Summer.
IS GIBAS,2,1.11,0.55,2886.75,LOW,High seasonal risk in Summer.
BASANALI,2,1.60,0.80,13069.9,LOW,High seasonal risk in Summer.
PAULE FENU,2,2.30,1.15,15037,LOW,High seasonal risk in Summer.
S. BARBARA,2,4.17,2.09,1718.32,LOW,High seasonal risk in Summer.
PERDA BOGADA,2,15.61,7.80,154228,LOW,High seasonal risk in Summer.
C. SCALAS,2,16.76,8.38,45756,LOW,High seasonal risk in Summer.
STANI DI S. LORENZO,2,9.35,4.68,53181.5,LOW,High seasonal risk in Summer.
SANT'ANDREA,2,3.24,1.62,21962.1,LOW,High seasonal risk in Summer.
N.GHE TUPPEDILI,2,14.37,7.19,106594,LOW,High seasonal risk in Summer.
S. MARIA,2,0.92,0.46,6379.37,LOW,High seasonal risk in Summer.
N.GHE AUREDDUS,2,4.41,2.20,33013.6,LOW,High seasonal risk in Summer.
BAU TRIGA,2,15.54,7.77,98360.7,LOW,High seasonal risk in Summer.
BAU DEXIMU,2,1.92,0.96,7705.92,LOW,High seasonal risk in Summer.
COSTERA SILVANU,2,7.91,3.96,28958.6,LOW,High seasonal risk in Summer.
BAU SA PIRA,2,12.28,6.14,102141,LOW,High seasonal risk in Summer.
S.S. DI SEUI E LANUSEI,2,5.13,2.56,38309.5,LOW,High seasonal risk in Summer.
RIU PEIS,2,1.21,0.60,10748.2,LOW,High seasonal risk in Summer.
CUCCURU SA SPINADA,2,38.21,19.11,287476,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
SUIDILLI,2,6.34,3.17,3835.03,LOW,High seasonal risk in Summer.
ARGIOLAS,2,0.65,0.32,889.393,LOW,High seasonal risk in Summer.
RIU SA NUXEDDA,2,5.84,2.92,9820.28,LOW,High seasonal risk in Summer.
SENNURU,2,19.86,9.93,191521,LOW,High seasonal risk in Summer.
IS NARBONIS,2,38.43,19.22,351197,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
GORA DE GURI,2,1.23,0.62,1732.26,LOW,High seasonal risk in Summer.
GORA STAGNO,2,1.03,0.52,6592.46,LOW,High seasonal risk in Summer.
NIU ARRUNDINIS,2,7.95,3.98,16176,LOW,High seasonal risk in Summer.
S'ARRIXI,2,0.82,0.41,1942.08,LOW,High seasonal risk in Summer.
CUC.RU TERRAFURCA,2,0.93,0.47,2969.03,LOW,High seasonal risk in Summer.
BR.CU PERDU MURGIA,2,45.51,22.75,153706,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
FLUMINI BECCIU,2,12.87,6.44,57433.3,LOW,High seasonal risk in Summer.
R. S. SIBIPPU,2,0.85,0.42,5048.57,LOW,High seasonal risk in Summer.
CORONGIULEDDAS,2,0.23,0.12,1233.63,LOW,High seasonal risk in Summer.
SU PARDU,2,2.15,1.07,17004.4,LOW,High seasonal risk in Summer.
C. CABIDDU,2,1.31,0.66,9181.09,LOW,High seasonal risk in Summer.
C.RA SANTA LUCIA,2,41.63,20.81,228014,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
M. OLLIONI,2,1.53,0.76,12937.7,LOW,High seasonal risk in Summer.
S'ARUTTA,2,9.51,4.76,2656.21,LOW,High seasonal risk in Summer.
SU FILIXI,2,2.16,1.08,17679.6,LOW,High seasonal risk in Summer.
STAMPAXINU,2,1.01,0.51,2813.75,LOW,High seasonal risk in Summer.
BR.CU SA CASA,2,11.00,5.50,17804.9,LOW,High seasonal risk in Summer.
C. PERDU PULIXI,2,19.86,9.93,11347.3,LOW,High seasonal risk in Summer.
AZIENDA PIMPISU,2,31.66,15.83,107293,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
BANGIU,2,1.00,0.50,2542.724728,LOW,High seasonal risk in Summer.
SA CONCA'E SU GIUDEU,2,3.00,1.50,16365,LOW,High seasonal risk in Summer.
FOSSAUS,2,3.14,1.57,16678,LOW,High seasonal risk in Summer.
S'ERA,2,5.87,2.93,41411.9,LOW,High seasonal risk in Summer.
C.RA ISPOLOS,2,5.44,2.72,0,LOW,High seasonal risk in Summer.
SA PERDERA,2,1.56,0.78,5168.63318756,LOW,High seasonal risk in Summer.
FUNTANA CUMINA,2,1.19,0.59,10019.43700846,LOW,High seasonal risk in Summer.
TRES MONTIS,2,22.47,11.24,211135.71188743,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
N.GHE BIA,2,9.04,4.52,83232.09897771,LOW,High seasonal risk in Summer.
S. LUCIA,2,5.19,2.59,7076.33382656,LOW,High seasonal risk in Summer.
RIU S. GIOVANNI,2,1.31,0.65,6303.16,LOW,High seasonal risk in Summer.
SERRA TUFFO,2,21.25,10.63,208973.37108733,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
SU ILAI,2,2.11,1.06,0,LOW,High seasonal risk in Summer.
FUNT.NA MANUNTA,2,5.19,2.60,0,LOW,High seasonal risk in Summer.
MONTEREGNU,2,75.03,37.52,6380.01,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
BISCOLLAI,2,7.69,3.85,40773.2,LOW,High seasonal risk in Summer.
C. MEDADU,2,2.61,1.30,0,LOW,High seasonal risk in Summer.
RIU CADDOS,2,30.74,15.37,25021.95727895,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
SOS LAVROS,2,3.81,1.90,25536.68691903,LOW,High seasonal risk in Summer.
CAMPO DE VORA,2,39.63,19.82,317009,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
BORUTTA,2,0.16,0.08,1616.82,LOW,High seasonal risk in Summer.
FUNT.NA ABBAIA,2,12.62,6.31,0,LOW,High seasonal risk in Summer.
SA GAIPIDA,2,0.87,0.43,0,LOW,High seasonal risk in Summer.
SOS BADDIGROS,2,5.04,2.52,0,LOW,High seasonal risk in Summer.
ISCALA SELEI,2,36.85,18.43,23747,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
PAULI PUTZU,2,4.05,2.02,29976.3,LOW,High seasonal risk in Summer.
CODINAS,2,2.73,1.36,16811.3,LOW,High seasonal risk in Summer.
CANALE ADDUTTORE TIRSO-ARB,2,1.30,0.65,12021.7364721,LOW,High seasonal risk in Summer.
TANCA ROINADAS,2,1.39,0.70,5229.6,LOW,High seasonal risk in Summer.
VILLA SANT'ANTONIO,2,0.48,0.24,0,LOW,High seasonal risk in Summer.
FLUMINIMAGGIORE,2,0.60,0.30,2936,LOW,High seasonal risk in Summer.
OVODDA,2,1.17,0.59,10344,LOW,High seasonal risk in Summer.
NORAGUGUME,2,2.73,1.36,0,LOW,High seasonal risk in Summer.
ONIFERI,2,0.00,0.00,0,LOW,High seasonal risk in Summer.
SEDINI,2,6.84,3.42,0,LOW,High seasonal risk in Summer.
TISSI,2,0.47,0.24,0,LOW,High seasonal risk in Summer.
TINNURA,2,0.26,0.13,0,LOW,High seasonal risk in Summer.
BADESI,2,1.42,0.71,0,LOW,High seasonal risk in Summer.
PADRU,2,0.00,0.00,0,LOW,High seasonal risk in Summer.
TERTENIA,2,0.80,0.40,0,LOW,High seasonal risk in Summer.
BARATILI SAN PIETRO,2,2.79,1.40,0,LOW,High seasonal risk in Summer.
GENURI,2,6.29,3.14,0,LOW,High seasonal risk in Summer.
LODINE,1,1.83,1.83,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
SEULO,1,2.85,2.85,"BOSCO, ALTRO",LOW,High seasonal risk in Summer.
SORRADILE,1,10.81,10.81,"BOSCO, PASCOLO, ALTRO",LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
SIAPICCIA,1,0.34,0.34,ALTRO,LOW,High seasonal risk in Summer.
NEONELI,1,3.66,3.66,"BOSCO, PASCOLO",LOW,High seasonal risk in Summer.
SCANO DI MONTIFERRO,1,1.49,1.49,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
CHEREMULE,1,0.51,0.51,ALTRO,LOW,High seasonal risk in Summer.
OSILO,1,27.89,27.89,"BOSCO, PASCOLO",LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
BESSUDE,1,0.33,0.33,PASCOLO,LOW,High seasonal risk in Summer.
TELTI,1,0.85,0.85,ALTRO,LOW,High seasonal risk in Summer.
AGLIENTU,1,0.24,0.24,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
VIDDALBA,1,0.24,0.24,"BOSCO, ALTRO",LOW,High seasonal risk in Summer.
SILIUS,1,0.30,0.30,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
BARADILI,1,0.25,0.25,ALTRO,LOW,High seasonal risk in Summer.
TRIEI,1,0.15,0.15,ALTRO,LOW,High seasonal risk in Summer.
LOCERI,1,0.64,0.64,ALTRO,LOW,High seasonal risk in Summer.
ELINI,1,0.27,0.27,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
BUGGERRU,1,1.48,1.48,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
GADONI,1,0.82,0.82,BOSCO,LOW,High seasonal risk in Summer. Forest density increases crown fire risk.
NURECI,1,3.40,3.40,"BOSCO, PASCOLO, ALTRO",LOW,High seasonal risk in Summer.
CARGEGHE,1,0.92,0.92,ALTRO,LOW,High seasonal risk in Summer.
MONTELEONE ROCCA DORIA,1,3.03,3.03,"PASCOLO, ALTRO",LOW,High seasonal risk in Summer.
TRINITA' D'AGULTU E VIGNOLA,1,3.78,3.78,"BOSCO, ALTRO",LOW,High seasonal risk in Summer.
TULA,1,9.41,9.41,ALTRO,LOW,High seasonal risk in Summer.
SANT'ANTONIO DI GALLURA,1,3.21,3.21,"BOSCO, ALTRO",LOW,High seasonal risk in Summer.
SAN GEROLAMO,1,0.64,0.64,6371.79,LOW,High seasonal risk in Summer.
R. SU GIUNCU,1,0.73,0.73,7285.78,LOW,High seasonal risk in Summer.
FREIZZU,1,1.93,1.93,19268.7,LOW,High seasonal risk in Summer.
CUCCURU MATTONI,1,1.13,1.13,11278.7,LOW,High seasonal risk in Summer.
SU SCUSORGIU,1,0.29,0.29,2925.26,LOW,High seasonal risk in Summer.
SABIOI,1,2.19,2.19,21862.8,LOW,High seasonal risk in Summer.
C.LE ACQUE ALTE,1,2.55,2.55,25503.7,LOW,High seasonal risk in Summer.
CONV.TO S. LUCIA,1,0.16,0.16,1571.15,LOW,High seasonal risk in Summer.
BAU ERBEIS,1,0.17,0.17,1717.47,LOW,High seasonal risk in Summer.
OVILE SARDO,1,7.57,7.57,75726,LOW,High seasonal risk in Summer.
MONTIXEDDU,1,0.01,0.01,0,LOW,High seasonal risk in Summer.
SANTU MIALI,1,2.44,2.44,24432.6,LOW,High seasonal risk in Summer.
MITZA PUDEXIA,1,6.44,6.44,64445,LOW,High seasonal risk in Summer.
RIU SA UGA,1,0.74,0.74,7392.23,LOW,High seasonal risk in Summer.
BENATZU CASULA,1,12.04,12.04,120367,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
IS CUCUREDDUS,1,2.69,2.69,26853.2,LOW,High seasonal risk in Summer.
SU CODDU,1,8.84,8.84,88364.8,LOW,High seasonal risk in Summer.
RIU GUIDEDDU,1,1.82,1.82,18218.8,LOW,High seasonal risk in Summer.
SA ROIA,1,0.85,0.85,8545.18,LOW,High seasonal risk in Summer.
A. A. MAMUSA,1,0.25,0.25,2460.1,LOW,High seasonal risk in Summer.
SU  SCIOFFU,1,10.19,10.19,101888,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
MATTA TANAS,1,0.22,0.22,2158.04,LOW,High seasonal risk in Summer.
MATTA DEIAS,1,0.23,0.23,2255.2,LOW,High seasonal risk in Summer.
BROCCETTA,1,2.69,2.69,26931.7,LOW,High seasonal risk in Summer.
C. MONTE ARRUBBIU,1,0.20,0.20,0,LOW,High seasonal risk in Summer.
BAUSTELLA,1,1.11,1.11,11055.5,LOW,High seasonal risk in Summer.
POD.E S. EFISIO,1,0.48,0.48,4761.08,LOW,High seasonal risk in Summer.
PALAS DE LUA,1,1.63,1.63,16305.5,LOW,High seasonal risk in Summer.
GORA SU CANI,1,0.83,0.83,8314.55,LOW,High seasonal risk in Summer.
GORA SA DOMU,1,0.39,0.39,3914.12,LOW,High seasonal risk in Summer.
PERDA SUEUS,1,0.50,0.50,5005.91,LOW,High seasonal risk in Summer.
SU PAULI,1,1.09,1.09,10884.4,LOW,High seasonal risk in Summer.
CUC.RU PONTIS,1,1.86,1.86,18583.8,LOW,High seasonal risk in Summer.
PERDA ENATZA,1,6.02,6.02,60240.1,LOW,High seasonal risk in Summer.
IS ISCAS,1,0.87,0.87,8690.75,LOW,High seasonal risk in Summer.
BIA MORDEGUS,1,1.40,1.40,14011.5,LOW,High seasonal risk in Summer.
MARGIANE 'E MURO,1,0.96,0.96,9578.95,LOW,High seasonal risk in Summer.
IS TERRIXEDDAS,1,15.21,15.21,152140,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
IS ABETONIS,1,5.14,5.14,51367.1,LOW,High seasonal risk in Summer.
BARCELLONA,1,0.48,0.48,4806.14,LOW,High seasonal risk in Summer.
FUNT.NA MOTEGU,1,0.91,0.91,9132.62,LOW,High seasonal risk in Summer.
SU STRINTU,1,4.64,4.64,46413.5,LOW,High seasonal risk in Summer.
GUARDIA SU PREDI,1,0.19,0.19,1884.45,LOW,High seasonal risk in Summer.
S. MICHELE,1,0.97,0.97,9678.71,LOW,High seasonal risk in Summer.
BR.CU STANAS,1,0.35,0.35,3521.78,LOW,High seasonal risk in Summer.
BINGIA PANEDDAS,1,0.81,0.81,8114.09,LOW,High seasonal risk in Summer.
CAMPU 'E MESU,1,6.92,6.92,69172.2,LOW,High seasonal risk in Summer.
SU CRACCHIRI,1,1.56,1.56,15616.5,LOW,High seasonal risk in Summer.
SANTU DEU,1,0.19,0.19,1872.98,LOW,High seasonal risk in Summer.
FL. MANNU,1,0.26,0.26,2620.7,LOW,High seasonal risk in Summer.
CAMPU GUREUS,1,2.11,2.11,21073.1,LOW,High seasonal risk in Summer.
BINGIAS MANNAS,1,0.73,0.73,7343.76,LOW,High seasonal risk in Summer.
PALAXIRCA,1,0.45,0.45,4543.6,LOW,High seasonal risk in Summer.
PRANU MURDEGU,1,0.56,0.56,5645.34,LOW,High seasonal risk in Summer.
IS FUNTANAS,1,112.44,112.44,1124350,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
CUCCURU PERDASCENTA,1,2.07,2.07,20736.9,LOW,High seasonal risk in Summer.
MITZA DE STANI,1,1.09,1.09,10850.1,LOW,High seasonal risk in Summer.
BRUNCU MURUS',1,17.18,17.18,171808,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
BIA IS OGUS,1,1.52,1.52,15215.8,LOW,High seasonal risk in Summer.
BIA SA MANDRA,1,0.56,0.56,5582.41,LOW,High seasonal risk in Summer.
CUCCURU IMBUDU,1,4.51,4.51,45101.2,LOW,High seasonal risk in Summer.
CAN.LE RIU MALU,1,0.52,0.52,5178.49,LOW,High seasonal risk in Summer.
CORTI BECCIAS,1,12.48,12.48,124796,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
C.LE TUVIXEDDU,1,1.02,1.02,10178.3,LOW,High seasonal risk in Summer.
VILLA ARESU,1,7.54,7.54,75386.3,LOW,High seasonal risk in Summer.
N.GHE MOLINU,1,2.05,2.05,20459.4,LOW,High seasonal risk in Summer.
POD.E FIUME,1,4.00,4.00,39958.8,LOW,High seasonal risk in Summer.
TRAMATZEDDUS,1,2.32,2.32,23182.3,LOW,High seasonal risk in Summer.
ENNA SEDDUS,1,0.20,0.20,2024.69,LOW,High seasonal risk in Summer.
S. PLATANO,1,9.48,9.48,94793.7,LOW,High seasonal risk in Summer.
FONTE SA NUXEDDA,1,8.63,8.63,86309,LOW,High seasonal risk in Summer.
M.ZA 'E CRUCULEU,1,6.56,6.56,65564.6,LOW,High seasonal risk in Summer.
CORTE MARROCCU,1,0.78,0.78,7784.26,LOW,High seasonal risk in Summer.
C.PO SPER.LE FLUMENDOSA,1,0.38,0.38,3772,LOW,High seasonal risk in Summer.
MITZA SA CANNA,1,0.49,0.49,4936.95,LOW,High seasonal risk in Summer.
FUNT.NA ISTEDDA,1,1.54,1.54,15382,LOW,High seasonal risk in Summer.
TANCA DE PRAMMERI,1,2.83,2.83,28326.9,LOW,High seasonal risk in Summer.
RIO BANGIUS,1,2.45,2.45,24517.5,LOW,High seasonal risk in Summer.
POD.RE S. GIUSEPPE,1,1.75,1.75,17542.9,LOW,High seasonal risk in Summer.
RIU DE GIACU MELONI,1,1.34,1.34,13434.2,LOW,High seasonal risk in Summer.
SERRA ANTONI,1,129.80,129.80,1297981,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
GORA DE MATZEDDU,1,3.82,3.82,38216.2,LOW,High seasonal risk in Summer.
FUNTANGIANO,1,1.90,1.90,18996.2,LOW,High seasonal risk in Summer.
S'ISCHIXEDDA,1,98.48,98.48,984803,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
SA TANCA,1,8.62,8.62,86166.5,LOW,High seasonal risk in Summer.
RIU BINGIAS,1,2.85,2.85,28453.8,LOW,High seasonal risk in Summer.
MITZA CONILLUS,1,70.47,70.47,704705,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
R. BACCU'E FONNI,1,1.22,1.22,12197.5,LOW,High seasonal risk in Summer.
SEDDA INTREZZA,1,0.49,0.49,4866.29,LOW,High seasonal risk in Summer.
FATT.A SALV.E PINNA,1,11.24,11.24,112429,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
IS NUEDDAS,1,17.67,17.67,176700,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
N.GHE COMAS DE PISU,1,0.24,0.24,2425.83,LOW,High seasonal risk in Summer.
M. CUGUSSI',1,0.94,0.94,0,LOW,High seasonal risk in Summer.
T. SEDDANUS,1,0.14,0.14,1375.75,LOW,High seasonal risk in Summer.
S. SIMONE,1,16.79,16.79,167859,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
CANALI DE PIRA,1,1.65,1.65,16544.8,LOW,High seasonal risk in Summer.
R. CARRULO,1,0.66,0.66,6565.42,LOW,High seasonal risk in Summer.
CAMPO S. GILLA,1,1.54,1.54,15431.3,LOW,High seasonal risk in Summer.
SA GUARDIEDDA,1,89.77,89.77,897656,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
BRUSCHIADINU,1,1.14,1.14,11409.3,LOW,High seasonal risk in Summer.
PONTI NOU,1,1.45,1.45,14542.7,LOW,High seasonal risk in Summer.
C. CADEDDU,1,2.52,2.52,25150,LOW,High seasonal risk in Summer.
IS GUARDIAS,1,1.52,1.52,15216.6,LOW,High seasonal risk in Summer.
ARGIDAS,1,0.32,0.32,3223.54,LOW,High seasonal risk in Summer.
N.GHE SARTARO,1,0.31,0.31,3079.11,LOW,High seasonal risk in Summer.
N.GHE RIU ELIAS,1,0.64,0.64,6426.45,LOW,High seasonal risk in Summer.
GORA PODDESU,1,42.30,42.30,423030,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
SALTO DIVISO,1,2.72,2.72,27246.2,LOW,High seasonal risk in Summer.
VACC.A MEDDA,1,105.76,105.76,1057551,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
RIU ESTIUS,1,0.57,0.57,5682.95,LOW,High seasonal risk in Summer.
N.GHE POSADA,1,1.20,1.20,11995.4,LOW,High seasonal risk in Summer.
MARINGIANU,1,5.00,5.00,50035.3,LOW,High seasonal risk in Summer.
BR.CU SU PARU,1,2.99,2.99,0,LOW,High seasonal risk in Summer.
CALAMATTA,1,18.40,18.40,0,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
BAU SUEDDI,1,21.63,21.63,216288,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
FUNT.NA FANNI,1,7.03,7.03,70337.8,LOW,High seasonal risk in Summer.
NURACI,1,1.52,1.52,15244.2,LOW,High seasonal risk in Summer.
C. SENES,1,1.34,1.34,13436.5,LOW,High seasonal risk in Summer.
IS BRUNCUS,1,5.12,5.12,51152.2,LOW,High seasonal risk in Summer.
S. SEVERA,1,1.02,1.02,10228.9,LOW,High seasonal risk in Summer.
PALA BOIS,1,5.05,5.05,50530.3,LOW,High seasonal risk in Summer.
AZIENDA DI PENTA,1,2.17,2.17,21693.3,LOW,High seasonal risk in Summer.
S. PIETRO,1,1.90,1.90,18970.6,LOW,High seasonal risk in Summer.
SU NURAXEDDU,1,0.81,0.81,8098.63,LOW,High seasonal risk in Summer.
RUINA DE LOGU,1,2.67,2.67,26694.7,LOW,High seasonal risk in Summer.
MITZA PURRUS,1,0.52,0.52,5245.6,LOW,High seasonal risk in Summer.
MADEPASCA,1,1.08,1.08,10789.2,LOW,High seasonal risk in Summer.
R. MONTI,1,12.89,12.89,128873,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
FATT.A CUALBO,1,78.97,78.97,789690,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
RIU SCALA,1,0.46,0.46,4592.17,LOW,High seasonal risk in Summer.
GUTTURADROXIU,1,0.50,0.50,4981.75,LOW,High seasonal risk in Summer.
R. PISCINA LUDU,1,0.12,0.12,1153.42,LOW,High seasonal risk in Summer.
CORTE MARGIANI,1,0.87,0.87,8712.04,LOW,High seasonal risk in Summer.
C. PORRU,1,1.68,1.68,0,LOW,High seasonal risk in Summer.
GEMILLONIS,1,1.64,1.64,16389.3,LOW,High seasonal risk in Summer.
MITZA DI M. TRUXIONIS,1,0.44,0.44,4378.35,LOW,High seasonal risk in Summer.
BIA SERRENTI,1,5.19,5.19,51865.09357902,LOW,High seasonal risk in Summer.
TERRAS BARACCAS,1,1.09,1.09,10880.1,LOW,High seasonal risk in Summer.
BRUNCU CONILLU,1,2.83,2.83,28345,LOW,High seasonal risk in Summer.
PALA S'ARRIDELI,1,0.69,0.69,0,LOW,High seasonal risk in Summer.
S.S. 128,1,3.72,3.72,37212.8,LOW,High seasonal risk in Summer.
S'IBIXEDDA,1,1.98,1.98,19770.6,LOW,High seasonal risk in Summer.
PESADROXIU,1,0.58,0.58,5810.86,LOW,High seasonal risk in Summer.
GORA S. ANTONIO,1,0.69,0.69,6883.3,LOW,High seasonal risk in Summer.
SA PIXINA,1,0.66,0.66,6552.57,LOW,High seasonal risk in Summer.
PRANU SITO,1,3.45,3.45,34499.7,LOW,High seasonal risk in Summer.
PONTE MANNU,1,2.69,2.69,26854.8,LOW,High seasonal risk in Summer.
CORTE MELONIS,1,0.25,0.25,2544.61,LOW,High seasonal risk in Summer.
PRUNI CRISTIS,1,0.22,0.22,2193.11,LOW,High seasonal risk in Summer.
PERDAREGUS,1,1.14,1.14,11371.6,LOW,High seasonal risk in Summer.
CUC.RU CASU,1,10.22,10.22,102172,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
SU CRABIOLEDDU,1,2.19,2.19,21942.9,LOW,High seasonal risk in Summer.
MITZA SEUI,1,1.69,1.69,16919.3,LOW,High seasonal risk in Summer.
RIU CIXERRI,1,1.93,1.93,19338.5,LOW,High seasonal risk in Summer.
IS CUXINAS,1,5.23,5.23,52254,LOW,High seasonal risk in Summer.
RIU SESI,1,1.46,1.46,14593.7,LOW,High seasonal risk in Summer.
CAMPAIDALI,1,0.39,0.39,3895.65,LOW,High seasonal risk in Summer.
PERDA ZOCCU,1,0.36,0.36,3585.56,LOW,High seasonal risk in Summer.
LASCINEDDUS,1,9.35,9.35,93519.5,LOW,High seasonal risk in Summer.
TUPPA PERTIA,1,2.06,2.06,20642.5,LOW,High seasonal risk in Summer.
TANCA SERAPPIU,1,74.77,74.77,747727,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
T. LENI,1,2.82,2.82,28150.5,LOW,High seasonal risk in Summer.
SCROCCHIOI,1,2.99,2.99,29874.3,LOW,High seasonal risk in Summer.
FATT.A PIRAS,1,24.08,24.08,240834,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
C. PALMAS,1,7.85,7.85,78492.8,LOW,High seasonal risk in Summer.
S.S. 126,1,8.76,8.76,87634.8,LOW,High seasonal risk in Summer.
NURAXEU,1,3.38,3.38,33796.4,LOW,High seasonal risk in Summer.
N.GHE FIGU,1,2.39,2.39,23943,LOW,High seasonal risk in Summer.
IS ULMUS,1,0.64,0.64,6366.9,LOW,High seasonal risk in Summer.
MONTEDDINI,1,3.89,3.89,38908.7,LOW,High seasonal risk in Summer.
